Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
俗,,燭,入,似足,zjowk,三,開,邪,鍾,463.32,z-,-jowk,D,zjowk,zjwok
陸,,屋,入,力竹,ljuwk,三,開,來,東,454.13,l-,-juwk,D,ljuwk,ljuk
遲,脂,脂,平,直尼,drij,三,開,澄,脂,53.52,dr-,-ij,A,drij,ḍiᶜ
遲,,,,,,,,,,,,,,,ḍi
璞,,覺,入,匹角,phæwk,二,開,滂,江,466.04,,,,,
氣,,未,去,去旣,khjɨjH,三,開,溪,微,361.15,kh-,-j+j,C,khj+jH,kʰjeiᶜ
氣,,未,去,許旣,xjɨjH,三,開,曉,微,361.24,x-,-j+j,C,xj+jH,
旒,尤,尤,平,力求,ljuw,三,開,來,尤,203.18,,,,,
持,之,之,平,直之,dri,三,開,澄,之,62.51,dr-,-i,A,dri,
口,,厚,上,苦后,khuwX,一,開,溪,侯,327.31,kh-,-uw,B,khuwX,kʰəuᴮ
夷,脂,脂,平,以脂,yij,三,開,以（喻四）,脂,51.13,y-,-ij,A,yij,pjiet 4
夷,,,,,,,,,,,,,,,ji
夷,,,,,,,,,,,,,,,ji
鷲,,宥,去,疾僦,dzjuwH,三,開,從,尤,436.36,,,,,
榻,,盍,入,吐盍,thap,一,開,透,談,537.24,,,,,
歲,祭,祭,去,相銳,swjejH,三,合,心,,375.13,s-,-jwej,C,sjwejH,sjwäiᶜ
靈,青,青,平,郎丁,leng,四,開,來,青,195.24,l-,-eng,A,leng,lieŋ
玉,,燭,入,魚欲,ngjowk,三,開,疑,鍾,461.18,ng-,-jowk,D,ngjowk,
愁,尤,尤,平,士尤,dzrjuw,三,開,崇（牀二）,尤,209.14,dzr-,-juw,A,dzrjuw,dẓjəu
熟,,屋,入,殊六,dzyuwk,三,開,常（禪三）,東,455.33,dzy-,-juwk,D,dzyuwk,źjuk
縈,清,清,平,於營,ʔwjieng,三,合,影,清,192.40,,,,,Ɂjiwäŋ 4
逕,,徑,去,古定,kengH,四,開,見,青,431.40,,,,,
中,東,東,平,陟弓,trjuwng,三,開,知,東,24.22,tr-,-juwng,A,trjuwng,luân
中,,送,去,陟仲,trjuwngH,三,開,知,東,344.04,tr-,-juwng,C,trjuwngH,ṭjuŋᶜ
中,,,,,,,,,,,,,,,ṭjuŋ
合,,合,入,侯閤,hop,一,開,匣,覃,534.11,h-,-op,D,hop,Ɣập
合,,合,入,古沓,kop,一,開,見,覃,534.24,,,,,
拭,,職,入,賞職,syik,三,開,書（審三）,蒸,525.39,sy-,-ik,D,syik,
郡,,問,去,渠運,gjunH,三,開,群,文,396.42,,,,,gjuən
澆,蕭,蕭,平,古堯,kew,四,開,見,蕭,145.22,,,,,
澆,,嘯,去,五弔,ngewH,四,開,疑,蕭,413.22,,,,,
比,脂,脂,平,房脂,bjij (IV),三,開,並,脂,52.08,p-,-jij,B,pjijX,piᶜ 4
比,,至,去,毗至,bjijH (IV),三,開,並,脂,355.03,p-,-jij,C,pjijH,biᶜ 4
比,,質,入,毗必,bjit (IV),三,開,並,真,471.31,,,,,piᴮ 4
比,,至,去,必至,pjijH (IV),三,開,幫,脂,355.20,,,,,
比,,旨,上,卑履,pjijX (IV),三,開,幫,脂,248.09,,,,,
門,魂,魂,平,莫奔,mwon,一,合,明,魂,117.20,m-,-won,A,mwon,muən
治,之,之,平,直之,dri,三,開,澄,之,62.50,dr-,-i,A,dri,dậi
治,,志,去,直吏,driH,三,開,澄,之,356.30,dr-,-i,C,driH,ḍi[ᶜ]
治,,至,去,直利,drijH,三,開,澄,脂,353.25,,,,,
傷,陽,陽,平,式羊,syang,三,開,書（審三）,陽,172.24,sy-,-jang,A,syang,śjaŋ
傷,,漾,去,式亮,syangH,三,開,書（審三）,陽,425.04,,,,,
晝,,宥,去,陟救,trjuwH,三,開,知,尤,435.13,,,,,˘ṭjəuᶜ
傍,唐,唐,平,步光,bang,一,開,並,唐,183.16,b-,-ang,C,bangH,
傍,,宕,去,蒲浪,bangH,一,開,並,唐,427.30,b-,-ang,A,bang,
守,,宥,去,舒救,syuwH,三,開,書（審三）,尤,435.18,sy-,-juw,B,syuwX,śjəuᶜ
守,,有,上,書九,syuwX,三,開,書（審三）,尤,322.28,sy-,-juw,C,syuwH,śjəuᴮ
鳧,虞,虞,平,防無,bju,三,開,並,虞,78.05,,,,,
蒨,,霰,去,倉甸,tshenH,四,開,清,先,406.33,,,,,
侍,,志,去,時吏,dzyiH,三,開,常（禪三）,之,358.01,dzy-,-i,C,dzyiH,źiᶜ
境,,梗,上,居影,kjængX,三,開,見,庚,316.12,k-,-jaeng,B,kjaengX,
醨,支,支,平,呂支,lje,三,開,來,支,45.39,,,,,
開,咍,咍,平,苦哀,khoj,一,開,溪,咍,98.55,kh-,-oj,A,khoj,
開,,,,,,,,,,,kh-,-oj,A,khoj,
淚,,至,去,力遂,lwijH,三,合,來,脂,351.10,,,,,ljwiᶜ
往,,養,上,于兩,hwjangX,三,合,云（喻三）,陽,313.10,h-,-jwang,B,hjwangX,jwaŋᴮ
十,,緝,入,是執,dzyip,三,開,常（禪三）,侵,531.16,dzy-,-ip,D,dzyip,źjəp
瀾,寒(-w),寒,平,落干,lan,一,開,來,寒,123.12,,,,,lân
瀾,,翰,去,郎旰,lanH,一,開,來,寒,401.61,,,,,
渚,,語,上,章与,tsyoX,三,開,章（照三）,魚,257.06,tsy-,-jo,B,tsyoX,tśjwoᴮ
芒,唐,唐,平,莫郎,mang,一,開,明,唐,183.02,x-,-wang,B,xwangX,"mjwaŋ,mwâŋ"
芒,陽,陽,平,武方,mjang,三,開,明,陽,175.36,m-,-ang,A,mang,mwâŋ
司,之,之,平,息兹,si,三,開,心,之,59.30,s-,-i,A,si,si
穴,,屑,入,胡決,hwet,四,合,匣,先,492.56,h-,-wet,D,hwet,
石,,昔,入,常隻,dzyiek,三,開,常（禪三）,清,518.13,dzy-,-jek,D,dzyek,źjäk
煖,,緩,上,乃管,nwanX,一,合,泥,桓,286.03,,,,,nuânᴮ
煖,元,元,平,況袁,xwjon,三,合,曉,元,114.55,,,,,xjwɐn
就,,宥,去,疾僦,dzjuwH,三,開,從,尤,436.35,dz-,-juw,C,dzjuwH,dzjəuᶜ
洞,東,東,平,徒紅,duwng,一,開,定,東,23.33,,,,,duŋᶜ
洞,,送,去,徒弄,duwngH,一,開,定,東,343.09,,,,,
鑒,,鑑,去,格懺,kæmH,二,開,見,銜,445.34,,,,,
歷,,錫,入,郎擊,lek,四,開,來,青,520.51,l-,-ek,D,lek,
倦,,線,去,渠卷,gwjenH (III),三,合,群,仙,410.46,,,,,gjwänᶜ 3
惡,,鐸,入,烏各,ʔak,一,開,影,唐,507.30,-,-ak,D,ak,ʔâk
惡,模,模,平,哀都,ʔu,一,開,影,模,85.22,-,-u,C,uH,bjuənᴮ
惡,,暮,去,烏路,ʔuH,一,開,影,模,369.43,,,,,ʔuoᶜ
惡,,,,,,,,,,,,,,,Ɂuo
洪,東,東,平,戸公,huwng,一,開,匣,東,30.34,,,,,Ɣuŋ
豪,豪,豪,平,胡刀,haw,一,開,匣,豪,154.52,h-,-aw,A,haw,
酒,,有,上,子酉,tsjuwX,三,開,精,尤,324.30,ts-,-juw,B,tsjuwX,tsjəuᴮ
賀,,箇,去,胡箇,haH,一,開,匣,歌,419.10,,,,,Ɣâᶜ
天,先,先,平,他前,then,四,開,透,先,133.14,th-,-en,A,then,ṇiänᴮ
天,,,,,,,,,,,,,,,tʰien
天,,,,,,,,,,,,,,,tʰien
樓,侯,侯,平,落侯,luw,一,開,來,侯,213.16,,,,,
排,皆,皆,平,步皆,bɛj,二,開,並,皆,94.38,b-,-eaj,A,beaj,
目,,屋,入,莫六,mjuwk,三,開,明,東,459.11,m-,-juwk,D,mjuwk,mjuk
臯,,,,,,,,,,,,,,,
濛,東,東,平,莫紅,muwng,一,開,明,東,29.15,,,,,muŋ
濛,,董,上,莫孔,muwngX,一,開,明,東,236.09,,,,,
莊,陽,陽,平,側羊,tsrjang,三,開,莊（照二）,陽,176.12,tsr-,-jang,A,tsrjang,
叶,,帖,入,胡頰,hep,四,開,匣,添,541.13,,,,,
況,,漾,去,許訪,xwjangH,三,合,曉,陽,426.35,x-,-jwang,C,xjwangH,xjwaŋᶜ
勿,,物,入,文弗,mjut,三,開,明,文,475.05,m-,-jut,D,mjut,mjuət
勿,,,,,,,,,,,m-,-jut,D,mjut,mjwət
才,咍,咍,平,昨哉,dzoj,一,開,從,咍,99.49,dz-,-oj,A,dzoj,
曛,文,文,平,許云,xjun,三,開,曉,文,111.26,,,,,
霓,齊,齊,平,五稽,ngej,四,開,疑,齊,89.47,,,,,
霓,,霽,去,五計,ngejH,四,開,疑,齊,372.41,,,,,
霓,,屑,入,五結,nget,四,開,疑,先,494.43,,,,,
採,,海,上,倉宰,tshojX,一,開,清,咍,274.28,tsh-,-oj,B,tshojX,
五,,姥,上,疑古,nguX,一,開,疑,模,266.15,ng-,-u,B,nguX,ŋuoᴮ
絮,,御,去,尼據,nrjoH,三,開,娘,魚,363.36,s-,-jo,C,sjoH,
絮,,禡,去,乃亞,næH,二,開,泥,麻,424.13,,,,,
絮,,御,去,息據,sjoH,三,開,心,魚,363.03,,,,,
絮,,御,去,抽據,trhjoH,三,開,徹,魚,363.41,,,,,
斗,,厚,上,當口,tuwX,一,開,端,侯,325.42,t-,-uw,B,tuwX,təuᴮ
斗,,,,,,,,,,,tsy-,-ju,B,tsyuX,tśjuᴮ
紫,,紙,上,將此,tsjeX,三,開,精,支,245.45,,,,,
瑩,庚,庚,平,永兵,hwjæng,三,合,云（喻三）,庚,186.30,,,,,jwɐŋ
瑩,,徑,去,烏定,ʔwengH,四,合,影,青,432.33,,,,,
征,清,清,平,諸盈,tsyieng,三,開,章（照三）,清,192.13,tsy-,-jeng,A,tsyeng,
命,,映,去,眉病,mjængH,三,開,明,庚,429.13,m-,-jaeng,C,mjaengH,mjɐŋᶜ
虎,,姥,上,呼古,xuX,一,開,曉,模,266.33,x-,-u,B,xuX,xuoᴮ
