Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
蚻,,黠,入,側八,tsrɛt,二,開,莊（照二）,山,488.02,,,,,
㗶,,,,,,,,,,,,,,,
籪,,,,,,,,,,,,,,,
儃,寒(-w),寒,平,徒干,dan,一,開,定,寒,122.26,,,,,źjän
儃,仙,仙,平,市連,dzyen,三,開,常（禪三）,仙,138.35,,,,,
浽,,賄,上,奴罪,nwojX,一,合,泥,灰,273.09,,,,,
浽,脂,脂,平,息遺,swij,三,合,心,脂,56.20,,,,,
縩,,,,,,,,,,,,,,,
毼,,曷,入,胡葛,hat,一,開,匣,寒,482.59,,,,,
幫,唐,唐,平,博旁,pang,一,開,幫,唐,183.38,,,,,
蟶,清,清,平,丑貞,trhjieng,三,開,徹,清,191.25,,,,,
鐎,宵,宵,平,昨焦,dzjew,三,開,從,宵,147.37,,,,,
鐎,宵,宵,平,即消,tsjew,三,開,精,宵,148.08,,,,,
䁭,,,,,,,,,,,,,,,
𥻰,,,,,,,,,,,,,,,
㢩,,,,,,,,,,,,,,,
餟,祭,祭,去,陟衛,trwjejH,三,合,知,,376.19,,,,,
餟,,薛,入,陟劣,trwjet,三,合,知,仙,499.18,,,,,
骫,,紙,上,於詭,ʔwjeX (III),三,合,影,支,242.01,-,-jwe,B,jweX,
廇,,宥,去,力救,ljuwH,三,開,來,尤,436.16,,,,,
𦸈,,末,入,古活,kwat,一,合,見,桓,485.60,,,,,
瓐,模,模,平,落胡,lu,一,開,來,模,84.24,,,,,
縂,,,,,,,,,,,,,,,
婙,,,,,,,,,,,,,,,
厮,,,,,,,,,,,,,,,
扟,真,臻,平,所臻,srin,三,開,生（審二）,臻,109.09,,,,,
穧,,霽,去,在詣,dzejH,四,開,從,齊,371.18,,,,,
穧,,霽,去,子計,tsejH,四,開,精,齊,370.30,,,,,
穧,祭,祭,去,子例,tsjejH,三,開,精,,375.12,,,,,
圛,,昔,入,羊益,yiek,三,開,以（喻四）,清,517.23,,,,,
塜,,,,,,,,,,,,,,,
肏,,,,,,,,,,,,,,,
崲,,,,,,,,,,,,,,,
𬳮,,,,,,,,,,,,,,,
莋,,鐸,入,在各,dzak,一,開,從,唐,508.13,,,,,
軱,模,模,平,古胡,ku,一,開,見,模,82.25,,,,,kuo
譓,,霽,去,胡桂,hwejH,四,合,匣,齊,373.55,,,,,
憹,冬,冬,平,奴冬,nowng,一,開,泥,冬,33.28,,,,,
薐,,,,,,,,,,,,,,,
阱,,靜,上,疾郢,dzjiengX,三,開,從,清,318.04,,,,,dzjäŋᴮ
瓬,,養,上,分网,pjangX,三,開,幫,陽,313.05,p-,-jang,B,pjangX,
牐,,洽,入,士洽,dzrɛp,二,開,崇（牀二）,咸,543.21,,,,,
裦,,,,,,,,,,,,,,,
鮧,齊,齊,平,杜奚,dej,四,開,定,齊,88.50,,,,,
鮧,脂,脂,平,以脂,yij,三,開,以（喻四）,脂,51.27,,,,,
錟,談,談,平,徒甘,dam,一,開,定,談,223.31,,,,,
旹,之,之,平,市之,dzyi,三,開,常（禪三）,之,59.19,,,,,
囇,,,,,,,,,,,,,,,
濋,,語,上,創舉,tsrhjoX,三,開,初（穿二）,魚,258.37,,,,,
𤂆,,,,,,,,,,,,,,,
揈,耕,耕,平,呼宏,xwɛng,二,合,曉,耕,189.31,,,,,
椴,,換,去,徒玩,dwanH,一,合,定,桓,403.38,,,,,
鱅,鍾,鍾,平,蜀庸,dzyowng,三,開,常（禪三）,鍾,37.52,,,,,
鱅,鍾,鍾,平,餘封,yowng,三,開,以（喻四）,鍾,35.17,,,,,
唉,咍,咍,平,烏開,ʔoj,一,開,影,咍,99.07,,,,,
唉,,駭,上,於駭,ʔɛjX,二,開,影,皆,271.36,,,,,
彜,,,,,,,,,,,,,,,
灈,虞,虞,平,其俱,gju,三,開,群,虞,74.44,,,,,
𢞕,,,,,,,,,,,,,,,
𧹞,,,,,,,,,,,,,,,
掲,,,,,,,,,,,,,,,
讇,,琰,上,丑琰,trhjemX,三,開,徹,鹽,335.01,trh-,-jem,B,trhjemX,
爕,,,,,,,,,,,,,,,
竸,,,,,,,,,,,,,,,
癈,廢,廢,去,方肺,pjojH,三,開,幫,,391.15,,,,,
矦,侯,侯,平,戸鉤,huw,一,開,匣,侯,212.06,,,,,
𠜱,齊,齊,平,匹迷,phej,四,開,滂,齊,91.04,,,,,
艙,,,,,,,,,,,,,,,
㬊,,緩,上,胡管,hwanX,一,合,匣,桓,285.09,,,,,
疰,,遇,去,之戍,tsyuH,三,開,章（照三）,虞,364.31,,,,,
櫽,,隱,上,於謹,ʔjɨnX,三,開,影,欣,279.34,,,,,
埸,,昔,入,羊益,yiek,三,開,以（喻四）,清,517.22,,,,,
薆,,代,去,烏代,ʔojH,一,開,影,咍,390.42,,,,,Ɂ˘ậiᶜ
熝,,,,,,,,,,,,,,,
蒏,,,,,,,,,,,,,,,
磂,,,,,,,,,,,,,,,
鱐,,屋,入,息逐,sjuwk,三,開,心,東,459.01,,,,,
烊,陽,陽,平,與章,yang,三,開,以（喻四）,陽,171.07,,,,,
鵃,肴,肴,平,陟交,træw,二,開,知,肴,154.12,,,,,
鵃,宵,宵,平,止遙,tsyew,三,開,章（照三）,宵,149.23,,,,,
檈,真,諄,平,相倫,swin,三,合,心,諄,107.03,,,,,
檈,仙,仙,平,似宣,zwjen,三,合,邪,仙,141.05,,,,,
怓,肴,肴,平,女交,nræw,二,開,娘,肴,152.42,,,,,
僤,,翰,去,徒案,danH,一,開,定,寒,401.21,,,,,
僤,,旱,上,徒旱,danX,一,開,定,寒,284.25,,,,,
僤,仙,仙,平,市連,dzyen,三,開,常（禪三）,仙,138.36,,,,,
㤤,虞,虞,平,羊朱,yu,三,開,以（喻四）,虞,76.33,,,,,
㤤,,麌,上,以主,yuX,三,開,以（喻四）,虞,263.11,,,,,
幩,,,,,,,,,,,,,,,
剄,,迥,上,古挺,kengX,四,開,見,青,320.36,k-,-eng,B,kengX,kieŋᴮ
淯,,屋,入,余六,yuwk,三,開,以（喻四）,東,455.60,,,,,
攧,,,,,,,,,,,,,,,
鮊,,陌,入,傍陌,bæk,二,開,並,庚,510.27,,,,,
䫥,之,之,平,去其,khi,三,開,溪,之,61.23,,,,,
䫥,,賄,上,口猥,khwojX,一,合,溪,灰,272.53,,,,,
䫥,,賄,上,五罪,ngwojX,一,合,疑,灰,273.21,,,,,
飵,,鐸,入,在各,dzak,一,開,從,唐,508.23,,,,,
飵,,暮,去,昨誤,dzuH,一,開,從,模,369.31,,,,,
嚤,,,,,,,,,,,,,,,
俅,尤,尤,平,巨鳩,gjuw,三,開,群,尤,210.35,,,,,gjəu
瞯,山,山,平,戸閒,hɛn,二,開,匣,山,129.20,,,,,
𪀉,,,,,,,,,,,,,,,
鷢,,月,入,其月,gwjot,三,合,群,元,478.40,,,,,
榧,,尾,上,府尾,pjɨjX,三,開,幫,微,255.19,,,,,
𨍽,,,,,,,,,,,,,,,
𪀢,,,,,,,,,,,,,,,
蟁,文,文,平,無分,mjun,三,開,明,文,109.37,,,,,
庤,,止,上,直里,driX,三,開,澄,之,253.11,,,,,
玡,,,,,,,,,,,,,,,
卲,,笑,去,寔照,dzyewH,三,開,常（禪三）,宵,414.08,,,,,
荚,,,,,,,,,,,,,,,
鐻,魚,魚,平,強魚,gjo,三,開,群,魚,67.31,,,,,
鐻,,語,上,其吕,gjoX,三,開,群,魚,258.14,,,,,
鐻,,御,去,居御,kjoH,三,開,見,魚,362.01,,,,,
揸,,,,,,,,,,,,,,,
餶,,,,,,,,,,,,,,,
唪,,腫,上,扶隴,bjowngX,三,開,並,冬鍾,238.24,,,,,
唪,,董,上,蒲蠓,buwngX,一,開,並,東,237.34,,,,,
蹸,,,,,,,,,,,,,,,
偭,,線,去,彌箭,mjienH (IV),三,開,明,仙,409.48,,,,,mjiänᴮ 4
偭,,獮,上,彌兖,mjienX (IV),三,開,明,仙,293.05,,,,,
潈,,,,,,,,,,,,,,,
荿,,,,,,,,,,,,,,,
汦,,紙,上,諸氏,tsyeX,三,開,章（照三）,支,240.36,,,,,
汦,脂,脂,平,旨夷,tsyij,三,開,章（照三）,脂,51.02,,,,,
𣿉,,,,,,,,,,,,,,,
嵜,,,,,,,,,,,,,,,
痙,,靜,上,巨郢,gjiengX,三,開,群,清,318.18,,,,,
奥,,,,,,,,,,,,,,,
㹱,,藥,入,七雀,tshjak,三,開,清,陽,503.16,,,,,
㹱,,燭,入,七玉,tshjowk,三,開,清,鍾,463.30,,,,,
懆,,晧,上,采老,tshawX,一,開,清,豪,302.33,,,,,tsʰâuᴮ
𣡶,鹽,鹽,平,余廉,yem,三,開,以（喻四）,鹽,225.10,,,,,
貈,,鐸,入,下各,hak,一,開,匣,唐,508.02,,,,,
㜪,真,臻,平,所臻,srin,三,開,生（審二）,臻,109.08,,,,,
臐,文,文,平,許云,xjun,三,開,曉,文,111.36,,,,,
臐,,問,去,許運,xjunH,三,開,曉,文,396.18,,,,,
霵,,緝,入,仕戢,dzrip,三,開,崇（牀二）,侵,534.01,,,,,
霵,,緝,入,阻立,tsrip,三,開,莊（照二）,侵,533.45,,,,,
㬉,,緩,上,乃管,nwanX,一,合,泥,桓,286.01,,,,,
𦞦,,鐸,入,呵各,xak,一,開,曉,唐,507.45,,,,,
𦞦,,屋,入,呼木,xuwk,一,開,曉,東,451.40,,,,,
瞙,,鐸,入,慕各,mak,一,開,明,唐,505.08,,,,,
淸,,,,,,,,,,,,,,,
朊,,,,,,,,,,,,,,,
悻,,,,,,,,,,,,,,,
鼀,,屋,入,七宿,tshjuwk,三,開,清,東,456.19,,,,,
篵,,,,,,,,,,,,,,,
嶆,,,,,,,,,,,,,,,
韊,,,,,,,,,,,,,,,lân
𦺥,,,,,,,,,,,,,,,
癛,,,,,,,,,,,,,,,
枧,,,,,,,,,,,,,,,
猬,,,,,,,,,,,,,,,
夲,豪,豪,平,土刀,thaw,一,開,透,豪,156.34,,,,,
岋,,,,,,,,,,,,,,,
虦,,,,,,,,,,,,,,,
羓,,,,,,,,,,,,,,,
𩉾,,狎,入,胡甲,hæp,二,開,匣,銜,544.27,,,,,
𪾾,,,,,,,,,,,,,,,
毎,,,,,,,,,,,,,,,
璲,,至,去,徐醉,zwijH,三,合,邪,脂,350.27,,,,,
袀,真,諄,平,居勻,kwjin (IV),三,合,見,諄,108.35,,,,,
岍,先,先,平,苦堅,khen,四,開,溪,先,135.19,,,,,
濪,,,,,,,,,,,,,,,
艐,,箇,去,口箇,khaH,一,開,溪,歌,419.30,,,,,
艐,,怪,去,古拜,kɛjH,二,開,見,皆,385.13,,,,,
艐,東,東,平,子紅,tsuwng,一,開,精,東,31.49,,,,,
蕢,,至,去,求位,gwijH (III),三,合,群,脂,351.34,,,,,
蕢,,怪,去,苦怪,khwɛjH,二,合,溪,皆,385.52,,,,,
㖀,,,,,,,,,,,,,,,
艕,,,,,,,,,,,,,,,
憞,,隊,去,徒對,dwojH,一,合,定,灰,387.28,,,,,
㦸,,,,,,,,,,,,,,,
𤜣,,紙,上,承紙,dzyeX,三,開,常（禪三）,支,241.09,,,,,
𤜣,,紙,上,神帋,zyeX,三,開,船（牀三）,支,246.20,,,,,
遫,,職,入,恥力,trhik,三,開,徹,蒸,525.11,,,,,
躛,,怪,去,火怪,xwɛjH,二,合,曉,皆,386.20,,,,,
篢,東,東,平,古紅,kuwng,一,開,見,東,29.12,,,,,
!,,,,,,,,,,,,,,,
冋,,迥,上,戸頂,hwengX,四,合,匣,青,319.16,,,,,
冋,青,青,平,古螢,kweng,四,合,見,青,198.15,,,,,
𤬛,,,,,,,,,,,,,,,
賬,,,,,,,,,,,,,,,
𧀥,尤,尤,平,於求,ʔjuw,三,開,影,尤,202.46,,,,,
籋,,帖,入,奴協,nep,四,開,泥,添,542.16,,,,,
籋,,葉,入,尼輒,nrjep,三,開,娘,鹽,539.45,,,,,
恅,,晧,上,盧晧,lawX,一,開,來,豪,301.38,,,,,
笟,,,,,,,,,,,,,,,
鴐,麻,麻,平,古牙,kæ,二,開,見,麻,166.42,,,,,
妆,,,,,,,,,,,,,,,
䨧,,,,,,,,,,,,,,,
䓪,,,,,,,,,,,,,,,
哄,,送,去,胡貢,huwngH,一,開,匣,東,344.06,,,,,
藇,魚,魚,平,相居,sjo,三,開,心,魚,68.30,,,,,
藇,魚,魚,平,以諸,yo,三,開,以（喻四）,魚,67.42,,,,,
藇,,御,去,羊洳,yoH,三,開,以（喻四）,魚,363.24,,,,,
藇,,語,上,余吕,yoX,三,開,以（喻四）,魚,257.01,,,,,
藇,,語,上,徐吕,zjoX,三,開,邪,魚,259.22,,,,,
𩛺,,屋,入,居六,kjuwk,三,開,見,東,455.19,,,,,
讄,,旨,上,力軌,lwijX,三,合,來,脂,249.20,,,,,
鱘,,,,,,,,,,,,,,,
鞌,寒(-w),寒,平,烏寒,ʔan,一,開,影,寒,121.26,-,-an,A,an,
湠,,翰,去,他旦,thanH,一,開,透,寒,400.47,,,,,
鑋,,徑,去,苦定,khengH,四,開,溪,青,432.24,,,,,
鑋,清,清,平,去盈,khjieng,三,開,溪,清,192.28,,,,,
两,,,,,,,,,,,,,,,
嗋,,業,入,虚業,xjæp,三,開,曉,嚴,545.32,,,,,
嫺,山,山,平,戸閒,hɛn,二,開,匣,山,129.16,,,,,
鹻,,豏,上,古斬,kɛmX,二,開,見,咸,336.46,,,,,
蟗,尤,尤,平,七由,tshjuw,三,開,清,尤,204.21,,,,,
鋂,灰,灰,平,莫杯,mwoj,一,合,明,灰,96.52,,,,,
硪,歌,歌,平,五何,nga,一,開,疑,歌,160.42,,,,,
硪,,哿,上,五可,ngaX,一,開,疑,歌,304.30,,,,,
𣡬,,,,,,,,,,,,,,,
爓,,豔,去,以贍,yemH,三,開,以（喻四）,鹽,443.32,z-,-im,A,zim,
爓,鹽,鹽,平,徐鹽,zjem,三,開,邪,鹽,228.22,y-,-jem,C,yemH,
嶶,,,,,,,,,,,,,,,
扢,,沒,入,戸骨,hwot,一,合,匣,魂,482.44,,,,,
扢,,迄,入,居乙,kjɨt,三,開,見,欣,477.12,,,,,
扢,,沒,入,古忽,kwot,一,合,見,魂,480.14,,,,,
𣏾,,,,,,,,,,,,,,,
醤,,,,,,,,,,,,,,,
鄘,鍾,鍾,平,餘封,yowng,三,開,以（喻四）,鍾,35.12,,,,,
簒,,,,,,,,,,,,,,,
奨,,,,,,,,,,,,,,,
檥,,紙,上,魚倚,ngjeX (III),三,開,疑,支,243.23,,,,,
链,,,,,,,,,,,,,,,
謭,,,,,,,,,,,,,,,
惮,,,,,,,,,,,,,,,
吿,,,,,,,,,,,,,,,
爋,,,,,,,,,,,,,,,
桋,齊,齊,平,杜奚,dej,四,開,定,齊,88.03,,,,,
桋,脂,脂,平,以脂,yij,三,開,以（喻四）,脂,51.24,,,,,
𪁟,,,,,,,,,,,,,,,
鰈,,盍,入,吐盍,thap,一,開,透,談,537.28,,,,,
鮈,虞,虞,平,舉朱,kju,三,開,見,虞,80.27,,,,,
氲,,,,,,,,,,,,,,,
㘋,先,先,平,胡田,hen,四,開,匣,先,134.04,,,,,
㘋,真,真,平,下珍,hin (III),三,開,云（喻三）,真,102.31,,,,,
𧿧,,,,,,,,,,,,,,,
𨧱,,,,,,,,,,,,,,,
鮀,歌,歌,平,徒河,da,一,開,定,歌,159.38,,,,,
温,,,,,,,,,,,,,,,
猝,,沒,入,倉没,tshwot,一,合,清,魂,482.27,,,,,
龞,,,,,,,,,,,,,,,
蜌,,,,,,,,,,,,,,,
樿,,獮,上,旨善,tsyenX,三,開,章（照三）,仙,291.06,,,,,
醾,,,,,,,,,,,,,,,
搟,,,,,,,,,,,,,,,
屮,,薛,入,丑列,trhjet,三,開,徹,仙,500.47,,,,,
莟,,勘,去,胡紺,homH,一,開,匣,覃,441.50,,,,,
莟,,感,上,胡感,homX,一,開,匣,覃,331.53,,,,,
𦪈,豪,豪,平,五勞,ngaw,一,開,疑,豪,158.24,,,,,
蠏,,,,,,,,,,,,,,,
萧,,,,,,,,,,,,,,,
愯,,腫,上,息拱,sjowngX,三,開,心,冬鍾,239.33,,,,,
孿,,,,,,,,,,,sr-,-waen,C,srwaenH,"ṣwanᶜ,ṣjwänᶜ"
孿,,,,,,,,,,,,,,,孿
櫱,,曷,入,五割,ngat,一,開,疑,寒,484.16,,,,,
櫱,,薛,入,魚列,ngjet (III),三,開,疑,仙,498.09,,,,,
蘌,,語,上,魚巨,ngjoX,三,開,疑,魚,256.16,,,,,
𮑉,,,,,,,,,,,,,,,
埦,,,,,,,,,,,,,,,
𩧆,,,,,,,,,,,,,,,
靑,,,,,,,,,,,,,,,
穂,,,,,,,,,,,,,,,
鐞,,,,,,,,,,,,,,,
挝,,,,,,,,,,,,,,,
舎,,,,,,,,,,,,,,,
絼,,,,,,,,,,,,,,,
耙,,,,,,,,,,,b-,-ae,A,bae,
菐,,屋,入,蒲木,buwk,一,開,並,東,452.09,,,,,
菐,,屋,入,方六,pjuwk,三,開,幫,東,453.17,,,,,
詑,歌,歌,平,徒河,da,一,開,定,歌,159.44,,,,,
詑,,哿,上,徒可,daX,一,開,定,歌,304.25,,,,,
詑,歌,戈,平,土禾,thwa,一,合,透,戈,163.10,,,,,
詑,支,支,平,香支,xjie (IV),三,開,曉,支,49.40,,,,,
詑,支,支,平,弋支,ye,三,開,以（喻四）,支,41.26,,,,,
䃬,,賄,上,五罪,ngwojX,一,合,疑,灰,273.22,,,,,
堲,,職,入,秦力,dzik,三,開,從,蒸,528.66,ts-,-it,D,tsit,dzjet
堲,,職,入,子力,tsik,三,開,精,蒸,527.45,,,,,tsjet
堲,,質,入,資悉,tsit,三,開,精,真,470.39,,,,,tsjet
隑,咍,咍,平,五來,ngoj,一,開,疑,咍,101.05,,,,,
耖,,效,去,初敎,tsrhæwH,二,開,初（穿二）,肴,416.49,,,,,
螱,,未,去,於胃,ʔwjɨjH,三,合,影,微,360.08,,,,,
聪,,,,,,,,,,,,,,,
朢,陽,陽,平,武方,mjang,三,開,明,陽,176.04,,,,,
朢,,漾,去,巫放,mjangH,三,開,明,陽,426.31,,,,,
𩕳,,迥,上,乃挺,nengX,四,開,泥,青,320.15,,,,,
鯘,,,,,,,,,,,,,,,
啽,,,,,,,,,,,,,,,
悹,寒(+w),桓,平,古丸,kwan,一,合,見,桓,125.12,,,,,
悹,,換,去,古玩,kwanH,一,合,見,桓,403.19,,,,,
悹,,緩,上,古滿,kwanX,一,合,見,桓,285.40,,,,,
馯,,翰,去,侯旰,hanH,一,開,匣,寒,400.35,,,,,
馯,刪,刪,平,丘姦,khæn,二,開,溪,刪,128.45,,,,,
䀪,,,,,,,,,,,,,,,
撋,仙,仙,平,而緣,nywen,三,合,日,仙,140.45,,,,,
氧,,,,,,,,,,,,,,,
刄,,,,,,,,,,,,,,,
郕,清,清,平,是征,dzyieng,三,開,常（禪三）,清,191.32,,,,,
獢,宵,宵,平,許嬌,xjew (III),三,開,曉,宵,147.22,,,,,
秒,,小,上,亡沼,mjiewX (IV),三,開,明,宵,298.26,,,,,
廧,陽,陽,平,在良,dzjang,三,開,從,陽,176.35,,,,,
蔊,,旱,上,呼旱,xanX,一,開,曉,寒,284.50,,,,,
艪,,,,,,,,,,,,,,,
醓,,,,,,,,,,,th-,-om,B,thomX,
腶,,換,去,丁貫,twanH,一,合,端,桓,403.44,,,,,
𨺗,,,,,,,,,,,,,,,
塕,,董,上,烏孔,ʔuwngX,一,開,影,東,237.06,,,,,
䤖,,,,,,,,,,,,,,,
衯,文,文,平,撫文,phjun,三,開,滂,文,112.06,,,,,
霨,,,,,,,,,,,,,,,
𤓰,,,,,,,,,,,,,,,
鄗,,晧,上,胡老,hawX,一,開,匣,豪,301.22,,,,,
鄗,肴,肴,平,口交,khæw,二,開,溪,肴,153.55,,,,,
鄗,,鐸,入,呵各,xak,一,開,曉,唐,507.46,,,,,
删,,,,,,,,,,,,,,,
児,,,,,,,,,,,,,,,
澿,侵,侵,平,巨金,gim (III),三,開,群,侵,219.23,,,,,
澿,,寢,上,渠飲,gimX (III),三,開,群,侵,329.28,,,,,
邜,,,,,,,,,,,,,,,
陏,,,,,,,,,,,,,,,
𡎺,,屋,入,側六,tsrjuwk,三,開,莊（照二）,東,457.43,,,,,
吪,歌,戈,平,五禾,ngwa,一,合,疑,戈,163.05,ng-,-wa,A,ngwa,
摠,,,,,,,,,,,,,,,
冘,侵,侵,平,餘針,yim,三,開,以（喻四）,侵,218.31,,,,,jiəm
冘,尤,尤,平,以周,yuw,三,開,以（喻四）,尤,204.35,,,,,
礭,,,,,,,,,,,,,,,
璝,,,,,,,,,,,,,,,
瑄,仙,仙,平,須緣,swjen,三,合,心,仙,140.26,,,,,
𧤏,,緝,入,阻立,tsrip,三,開,莊（照二）,侵,533.39,,,,,
悃,,混,上,苦本,khwonX,一,合,溪,魂,283.13,,,,,kʰuənᴮ
徳,,,,,,,,,,,,,,,
襘,泰,泰,去,黃外,hwajH,一,合,匣,,381.29,,,,,
襘,泰,泰,去,古外,kwajH,一,合,見,,381.39,,,,,
𦨴,東,東,平,徒紅,duwng,一,開,定,東,23.22,,,,,
臃,,,,,,,,,,,,,,,
𮖽,,,,,,,,,,,,,,,
輛,,,,,,,,,,,,,,,ljaŋᶜ
詄,,屑,入,徒結,det,四,開,定,先,493.36,,,,,
疐,,霽,去,都計,tejH,四,開,端,齊,371.04,tr-,-ij,C,trijH,tieiᶜ
疐,,至,去,陟利,trijH,三,開,知,脂,353.01,,,,,ṭiᶜ
𦨰,鍾,鍾,平,渠容,gjowng,三,開,群,鍾,37.39,,,,,
豋,,,,,,,,,,,t-,-ong,A,tong,
𧟌,,箇,去,郎佐,laH,一,開,來,歌,419.25,,,,,
㨏,寒(-w),寒,平,他干,than,一,開,透,寒,122.09,,,,,
嶞,,果,上,徒果,dwaX,一,合,定,戈,306.24,,,,,
畆,,,,,,,,,,,,,,,
儈,泰,泰,去,古外,kwajH,一,合,見,,381.36,,,,,
籽,,,,,,,,,,,,,,,
寽,,術,入,呂卹,lwit,三,合,來,諄,474.20,,,,,
硖,,,,,,,,,,,,,,,
魶,,盍,入,奴盍,nap,一,開,泥,談,537.46,,,,,
魶,,合,入,奴荅,nop,一,開,泥,覃,536.09,,,,,
撳,,,,,,,,,,,,,,,
豀,,,,,,,,,,,,,,,
庁,青,青,平,他丁,theng,四,開,透,青,197.25,,,,,
圩,,,,,,,,,,,-,-u,A,u,
芧,,語,上,直吕,drjoX,三,開,澄,魚,256.32,,,,,
𠸻,,,,,,,,,,,,,,,
饟,陽,陽,平,式羊,syang,三,開,書（審三）,陽,173.02,sy-,-jang,A,syang,
饟,,漾,去,式亮,syangH,三,開,書（審三）,陽,425.10,sy-,-jang,C,syangH,
饟,,養,上,書兩,syangX,三,開,書（審三）,陽,312.21,sy-,-jang,B,syangX,
傝,,盍,入,吐盍,thap,一,開,透,談,537.32,,,,,
傝,,勘,去,他紺,thomH,一,開,透,覃,442.08,,,,,
楁,,陌,入,胡格,hæk,二,開,匣,庚,512.07,,,,,
汑,,,,,,,,,,,,,,,
揫,尤,尤,平,即由,tsjuw,三,開,精,尤,205.30,,,,,
𦂌,,董,上,邊孔,puwngX,一,開,幫,東,237.11,,,,,
𦂌,,講,上,巴講,pæwngX,二,開,幫,江,240.22,,,,,
嘂,,嘯,去,古弔,kewH,四,開,見,蕭,412.50,,,,,
剨,,麥,入,呼麥,xwɛk,二,合,曉,耕,514.45,,,,,
餈,脂,脂,平,疾資,dzij,三,開,從,脂,53.30,,,,,
欎,,,,,,,,,,,,,,,
鼁,,御,去,丘倨,khjoH,三,開,溪,魚,362.16,,,,,
黹,,旨,上,豬几,trijX,三,開,知,脂,250.27,,,,,ṭiᴮ
霉,,,,,,,,,,,,,,,
埧,,遇,去,其遇,gjuH,三,開,群,虞,366.03,,,,,
囦,先,先,平,烏玄,ʔwen,四,合,影,先,135.50,,,,,
郸,,,,,,,,,,,,,,,
𩆓,,,,,,,,,,,,,,,
谾,東,東,平,呼東,xuwng,一,開,曉,東,32.23,,,,,
谾,江,江,平,許江,xæwng,二,開,曉,江,40.03,,,,,
㩇,,麥,入,簪摑,tsrwɛk,二,合,莊（照二）,耕,516.08,,,,,
㩇,,麥,入,呼麥,xwɛk,二,合,曉,耕,514.56,,,,,
峁,,,,,,,,,,,,,,,
溞,豪,豪,平,蘇遭,saw,一,開,心,豪,157.08,,,,,
𣤔,,,,,,,,,,,,,,,
磗,,,,,,,,,,,,,,,
焠,,隊,去,七内,tshwojH,一,合,清,灰,388.27,tsh-,-woj,C,tshwojH,
峺,,,,,,,,,,,,,,,
硋,,代,去,五漑,ngojH,一,開,疑,咍,390.29,,,,,
暋,,軫,上,眉殞,minX (III),三,開,明,真,276.52,,,,,
梙,,,,,,,,,,,,,,,
捆,,,,,,,,,,,,,,,kʰuənᴮ
凾,,,,,,,,,,,,,,,
婘,仙,仙,平,巨員,gwjen (III),三,合,群,仙,143.04,,,,,
盳,,,,,,,,,,,,,,,
毨,,銑,上,蘇典,senX,四,開,心,先,288.14,,,,,
辀,,,,,,,,,,,,,,,
鋐,,,,,,,,,,,,,,,
竮,青,青,平,薄經,beng,四,開,並,青,197.51,,,,,
竮,青,青,平,普丁,pheng,四,開,滂,青,195.16,,,,,
絅,,迥,上,口迥,khwengX,四,合,溪,青,320.35,,,,,
絅,青,青,平,古螢,kweng,四,合,見,青,198.17,,,,,
㨫,,,,,,,,,,,,,,,
𧑐,,術,入,餘律,ywit,三,合,以（喻四）,諄,473.44,,,,,
𧑐,,術,入,食聿,zywit,三,合,船（牀三）,諄,473.20,,,,,
嗓,,,,,,,,,,,,,,,
榍,,屑,入,先結,set,四,開,心,先,491.28,,,,,
佹,,紙,上,過委,kwjeX (III),三,合,見,支,242.25,,,,,
軰,,,,,,,,,,,,,,,
跆,咍,咍,平,徒哀,doj,一,開,定,咍,99.24,,,,,
楇,歌,戈,平,古禾,kwa,一,合,見,戈,162.04,,,,,
㗦,豪,豪,平,魯刀,law,一,開,來,豪,155.41,,,,,
笔,,,,,,,,,,,,,,,
刵,,志,去,仍吏,nyiH,三,開,日,之,357.30,,,,,
佟,冬,冬,平,徒冬,downg,一,開,定,冬,32.39,,,,,
𤂳,,線,去,息眷,swjenH,三,合,心,仙,411.30,,,,,
𤂳,祭,祭,去,此芮,tshwjejH,三,合,清,,376.06,,,,,
矙,,,,,,,,,,,,,,,
峪,,,,,,,,,,,,,,,
鍘,,,,,,,,,,,,,,,
謟,豪,豪,平,土刀,thaw,一,開,透,豪,156.21,,,,,
儴,陽,陽,平,汝陽,nyang,三,開,日,陽,174.36,,,,,
蘓,,,,,,,,,,,,,,,
萓,,,,,,,,,,,,,,,
菆,寒(+w),桓,平,在丸,dzwan,一,合,從,桓,125.05,,,,,
菆,,遇,去,芻注,tsrhjuH,三,開,初（穿二）,虞,366.34,,,,,
菆,尤,尤,平,側鳩,tsrjuw,三,開,莊（照二）,尤,209.09,,,,,
湀,,旨,上,求癸,gwjijX (IV),三,合,群,脂,249.26,,,,,
湀,齊,齊,平,苦圭,khwej,四,合,溪,齊,92.09,,,,,
湀,,屑,入,苦穴,khwet,四,合,溪,先,492.27,,,,,
湀,,旨,上,居誄,kwjijX (IV),三,合,見,脂,249.32,,,,,
𩍶,,,,,,,,,,,,,,,
䆿,祭,祭,去,魚祭,ngjiejH (IV),三,開,疑,,378.33,,,,,
𣟄,,鐸,入,他各,thak,一,開,透,唐,505.55,,,,,
涹,歌,戈,平,烏禾,ʔwa,一,合,影,戈,164.16,,,,,
禠,支,支,平,息移,sje,三,開,心,支,48.21,,,,,
